cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
292,23724,23157.77,41465.9,41314.73,20770.,29800.14702503611,21412.354,30224.069644747608,10343.65,0.9760037343837511,0.06872746564061413,0.9297219248832305,0.997363740332489,0.06854628219489553,0.9272709364706601,1.2285167120422105,-213.3225
293,13259,13340.29,36402.89,36289.7,46843.,35039.1512921888,47215.755000000005,35171.42133181307,10241.04,0.9486195577457462,0.09405186552813087,0.9053257893628339,1.0000117318243114,0.09405296892809341,0.9053364104859393,1.0363325187143324,-107.94029999999998
294,3367084,3372068,65457.36,66280.39,0.,0.,0.,0.,14546.71,0.9472308980720436,0.09827058628505353,0.8808125052923275,0.6175092493593617,0.06068299597098779,0.543909868969404,1.7413194637284748,-24550.679999999993
295,24055,24969.16,34902.05,35339.81,1.002335e6,43641.01403484863,1.00102605e6,43639.61831171285,5225.278,0.8452779348604438,0.2557244317814133,0.7415303021271936,0.9996523264544595,0.2556355231615345,0.7412724916579273,0.8674862467077169,70.12270999999998
296,387458,415344.8,38992.91,39365.18,3.861724e6,47040.78332232703,3.7871601999999997e6,46937.299166581855,6714.707,0.8795891991424956,0.17019943772136198,0.8273300431349568,0.9883410010347102,0.16821508265307572,0.8176842030180932,0.8700761062545807,2808.4390000000003
297,1268822,1268822,47672.25,47672.25,0.,0.,0.,0.,138822.1,1.,0.,0.9929443016940261,0.7956734903344389,0.,0.7900594582365779,1.3274703558619576,2178.959999999999
298,182276,183876.1,36799.48,37006.81,595765.,38501.07388294043,616096.71,38612.910089556884,10247.99,0.9156888796314474,0.1522638416299441,0.8449104347219478,0.9947452868015142,0.1514637388116791,0.840470672709076,0.9155955042339277,-139.53219999999965
299,4942,4598.715,29548.36,29538.7,76148.,32941.92826955403,77889.933,33157.33329630981,6495.275,0.9665089052050408,0.1269278045503575,0.8692268346838646,1.0001263088382655,0.12694383665389383,0.8693366257155427,0.7298294301420077,38.059529999999995
300,115171,115210,38627.91,38606.13,0.,0.,0.,0.,24659.09,0.9946532419060845,0.010277881785580405,0.9890328498246858,0.9559464079146143,0.009825104173896631,0.9454624000994625,1.1580202121107552,1636.7209999999995
301,28947,29349.69,34602.69,34712.49,90690.,35487.46340401367,90750.332,35689.32326263931,7189.848,0.9476750861763787,0.08878249943155216,0.9104269604226899,0.998017414389106,0.08860648052567996,0.9086219610311859,0.9682205652247189,-100.29579999999999
302,90945,90730.81,39577.77,39761.79,599647.,38753.352902924555,601684.87,38756.01367653138,8476.048,0.9280903587215854,0.13912458292397512,0.8588548360186434,0.9986474783402794,0.13893641391217085,0.8576932162503724,0.9571678349652881,511.8175000000001
303,136406,143449.5,37730.48,38907.12,3.487399e6,51091.489461185825,3.4275024899999998e6,50873.54724617522,5043.247,0.7798507488698113,0.35393057703496783,0.6389486037888108,0.9967527318596691,0.3527812695482732,0.6368737663444185,0.8619191899687142,617.0061999999998
