w_i,state_county_work
32464.826,23007
31410.291,23009
39911.418,23011
33608.76,23013
27667.66,23015
33025.57,23017
38731.668,23019
31337.762,23021
44101.54,23023
36553.57,23025
31594.566,23027
31010.785,23029
38398.062,23031
37989.336,24001
56897.188,24003
50243.945,24005
38300.633,24009
36259.13,24011
36044.406,24013
44029.28,24015
40877.285,24017
36122.293,24019
45650.684,24021
31080.104,24023
44823.008,24025
59151.047,24027
35758.465,24029
63900.1,24031
50953.867,24033
34520.27,24035
51766.06,24037
37099.707,24039
36698.926,24041
42719.64,24043
41035.906,24045
31711.7,24047
62669.89,24510
37898.395,25001
40614.504,25003
43503.617,25005
37372.508,25007
50114.56,25009
35411.33,25011
45653.727,25013
38807.1,25015
66215.664,25017
47886.133,25019
56903.027,25021
43679.645,25023
87460.65,25025
48197.86,25027
23238.879,26001
33190.1,26003
34800.3,26005
35387.812,26007
25233.555,26009
24347.664,26011
33700.066,26013
27774.492,26015
38924.414,26017
22222.8,26019
41674.094,26021
33854.332,26023
47187.043,26025
31366.26,26027
36299.926,26029
26397.393,26031
34061.996,26033
27430.547,26035
29995.676,26037
30466.842,26039
34860.34,26041
38192.246,26043
39696.0,26045
36000.914,26047
40761.156,26049
29951.098,26051
30819.316,26053
38464.383,26055
36254.938,26057
34606.79,26059
33870.594,26061
35015.633,26063
45934.39,26065
34947.86,26067
29525.7,26069
30510.79,26071
33309.098,26073
41698.285,26075
43634.39,26077
38492.8,26079
46446.855,26081
19653.227,26083
22609.783,26085
30638.734,26087
27914.104,26089
35039.332,26091
37777.26,26093
32258.738,26095
29985.424,26097
51030.508,26099
33198.39,26101
37723.617,26103
32201.451,26105
32452.059,26107
31646.492,26109
50806.258,26111
28450.63,26113
43478.445,26115
35286.434,26117
26309.691,26119
38057.188,26121
33129.8,26123
58017.41,26125
29236.617,26127
27976.922,26129
31707.541,26131
42920.215,26133
28018.291,26135
34537.305,26137
42004.76,26139
29878.105,26141
30484.951,26143
42509.86,26145
38807.97,26147
39161.133,26149
29324.178,26151
38432.67,26153
32310.604,26155
33340.93,26157
39821.027,26159
52972.324,26161
56527.91,26163
35881.473,26165
24823.045,27001
42196.957,27003
29011.541,27005
31691.71,27007
32406.324,27009
29010.662,27011
35638.742,27013
33974.965,27015
34072.363,27017
43306.58,27019
19588.709,27021
33978.2,27023
34354.76,27025
32151.004,27027
24791.703,27029
27228.123,27031
31296.56,27033
34792.258,27035
45308.582,27037
34259.953,27039
31975.785,27041
42131.547,27043
26983.701,27045
32911.06,27047
38267.727,27049
27948.889,27051
62826.19,27053
26415.934,27055
34045.344,27057
26899.88,27059
33186.664,27061
32111.023,27063
26666.252,27065
35813.94,27067
32581.412,27069
40142.45,27071
29689.488,27073
32688.965,27075
26862.592,27077
28198.707,27079
25943.797,27081
36933.227,27083
38483.37,27085
30066.893,27087
29691.496,27089
36023.6,27091
28552.879,27093
30747.805,27095
32087.594,27097
38198.824,27099
35145.69,27101
38026.938,27103
37489.59,27105
35108.03,27107
50987.09,27109
29017.062,27111
35150.605,27113
28684.074,27115
34799.49,27117
32412.205,27119
29297.518,27121
54714.297,27123
31952.525,27125
36134.82,27127
39859.74,27129
37855.133,27131
36064.2,27133
36169.027,27135
41285.215,27137
41905.27,27139
36717.18,27141
32706.734,27143
39224.625,27145
39491.664,27147
40525.875,27149
30982.738,27151
26882.742,27153
29622.584,27155
32744.855,27157
33786.605,27159
35645.824,27161
41155.723,27163
34824.945,27165
36233.203,27167
35471.836,27169
33875.027,27171
38084.27,27173
33883.67,28001
34015.523,28003
22911.193,28005
28687.072,28007
25345.395,28009
36591.066,28011
30313.375,28013
23879.2,28015
30413.293,28017
29642.031,28019
47901.734,28021
29326.348,28023
38355.074,28025
35879.36,28027
28509.027,28029
31305.748,28031
36310.133,28033
37458.438,28035
31803.26,28037
27066.908,28039
26234.592,28041
32616.31,28043
40944.44,28045
41750.188,28047
46447.99,28049
29602.88,28051
29564.172,28053
41938.355,28055
30219.232,28057
46554.688,28059
33393.715,28061
29483.324,28063
27195.764,28065
38831.215,28067
25341.268,28069
36097.395,28071
30796.629,28073
37793.336,28075
33801.945,28077
29285.914,28079
38642.258,28081
36725.652,28083
34697.664,28085
39959.86,28087
39427.434,28089
30621.344,28091
30598.863,28093
36784.73,28095
31815.53,28097
37952.637,28099
31363.498,28101
33608.273,28103
34514.535,28105
33857.824,28107
26685.42,28109
31706.69,28111
31306.47,28113
31048.654,28115
31173.104,28117
32460.67,28119
37528.03,28121
31026.832,28123
34020.85,28125
29727.844,28127
36063.367,28129
32259.588,28131
34183.43,28133
34020.625,28135
29953.672,28137
30383.846,28139
31136.562,28141
36987.94,28143
30894.193,28145
26668.924,28147
