vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w,s_i,lambda_nn_given_n
17171,1.0016080782850245,0.989033055,1.0029652903713955,1.0029619616492762,0.9768978593501859,0.9886084772024782,1.001464732371387,1.0059360350970308,1.0014950394452173,0.002873815,2152,3424.649,0.9439854239516472,35680.76,0.17585274492281838,0.47334057
17173,1.0015646584541813,0.9855763917866374,1.0008319346807484,1.0037557746354466,0.9783681412937838,0.9854666525006727,1.0015274839063764,1.0045908338753673,1.0022248922419772,0.001747289,8281,13274.69,0.8728837637595988,33948.92,0.14890862097885585,0.5157961
17175,1.001591407,0.9882195628539445,1.0040994374333514,1.0042054483942182,0.9737391184950165,0.9879140266741246,1.001488173233372,1.008322125800141,1.0027132373935812,0.004225126,2275,3337.447,1.0175505397935785,38298.02,0.1694335026610863,0.48096448
17177,1.0015765122551648,0.9930899603844706,0.9971369874762034,1.0017327618870924,0.9857132758918403,0.993136963,1.001592313587967,0.9988647884443123,1.0001402250169256,-0.001711507,27517,28775.52,1.0473732647408047,39426.06,0.17659441509042548,0.7816914
17179,1.001607703899368,1.0004472001305884,1.0050095096506209,0.9993007964018434,0.978992035,1.0000243636479642,1.0014665750260425,1.0043068033852915,0.9978373930012164,0.002846421,77324,82631.03,1.618672108585287,55183.36,0.24190847999946824,0.62113464
17181,1.001520013602375,0.9899155114880369,1.0009242155586258,1.0033401171152905,0.9786690940593479,0.9898946452246243,1.0015129765953406,1.0042674196621217,1.0018243802752924,0.001659872,7369,9133.841,0.8066803890649467,31714.07,0.18340957542337782,0.62323517
17183,1.0015496165585678,0.9888110233361515,0.997167326,1.0021675525499611,0.9851151728006744,0.9887928841666348,1.0015434922372244,0.9993287386830245,1.0006230985649387,-0.001507356,40118,41521.89,1.0229883126677768,38892.32,0.14360588632885143,0.85578346
17185,1.0015280175491816,0.9892602180812858,0.9973469973227503,1.003588091,0.9830100774618891,0.9892368664001908,1.0015201370655402,1.0009255687184666,1.002064814742746,-0.000791292,5459,7126.263,0.8658660430966143,33878.73,0.14890108751388564,0.6406651
17187,1.001549898703562,0.9930911095069359,0.998434723,1.0028467259694451,0.9825847949416209,0.9930629297006093,1.001540425336731,1.001276992826911,1.0013042914690886,-0.000333515,8498,9959.115,0.9057433242238526,34459.87,0.1910117901588311,0.6612322
17189,1.0016421290060726,0.9947324477680145,1.0005832972600832,1.0031259267952009,0.9799324337213344,0.9941184416525708,1.001435996198453,1.003711047399819,1.001687507342619,0.001135022,8076,9193.496,0.9674620830231476,36916.54,0.16838637353856123,0.57954293
17191,1.0015450888751118,0.9899391009037638,0.9963692369559268,1.002668568181628,0.985553493,0.9898425281957913,1.0015125195090835,0.9990281161988205,1.001154303,-0.001893279,8089,9914.584,0.7186802766463641,29184.82,0.12326026022115279,0.6966656
17193,1.001527282,0.9896994536315911,0.996841705,1.003719631767939,0.9834952729037303,0.9896806358619734,1.0015209339736806,1.0005495893777119,1.0021953587984775,-0.00110139,7656,9235.806,0.8308559774749982,32658.57,0.12389862444494784,0.66264236
17195,1.0015845247035484,0.9914530554883195,0.9972812646130704,1.0023216009919904,0.9848382517525857,0.9913936669259713,1.0015645258233246,0.9995965537862895,1.0007558925552436,-0.001393073,28958,32607.28,1.0343593237099764,38744.91,0.16241929809758263,0.7331769
