NAME,state,county,pct_bachelors_plus
"Greene County, Indiana",18,055,11.1
"Hamilton County, Indiana",18,057,53.8
"Hancock County, Indiana",18,059,24.2
"Harrison County, Indiana",18,061,14.4
"Hendricks County, Indiana",18,063,31.2
"Henry County, Indiana",18,065,13.8
"Howard County, Indiana",18,067,19.7
"Huntington County, Indiana",18,069,14.8
"Jackson County, Indiana",18,071,13.8
"Jasper County, Indiana",18,073,14.2
"Jay County, Indiana",18,075,10.7
"Jefferson County, Indiana",18,077,18.2
"Jennings County, Indiana",18,079,7.5
"Johnson County, Indiana",18,081,26.2
"Knox County, Indiana",18,083,14.9
"Kosciusko County, Indiana",18,085,20.2
"LaGrange County, Indiana",18,087,10.4
"Lake County, Indiana",18,089,18.9
"LaPorte County, Indiana",18,091,16.7
"Lawrence County, Indiana",18,093,12.5
"Madison County, Indiana",18,095,16.6
"Marion County, Indiana",18,097,27.3
"Marshall County, Indiana",18,099,17.1
"Martin County, Indiana",18,101,8.5
"Miami County, Indiana",18,103,10.2
"Monroe County, Indiana",18,105,42.7
"Montgomery County, Indiana",18,107,17.5
"Morgan County, Indiana",18,109,13.9
"Newton County, Indiana",18,111,9.5
"Noble County, Indiana",18,113,13.0
"Ohio County, Indiana",18,115,12.1
"Orange County, Indiana",18,117,12.5
"Owen County, Indiana",18,119,8.3
"Parke County, Indiana",18,121,12.7
"Perry County, Indiana",18,123,8.3
"Pike County, Indiana",18,125,8.3
"Porter County, Indiana",18,127,25.2
"Posey County, Indiana",18,129,18.5
"Pulaski County, Indiana",18,131,13.6
"Putnam County, Indiana",18,133,17.6
"Randolph County, Indiana",18,135,10.4
"Ripley County, Indiana",18,137,14.8
"Rush County, Indiana",18,139,13.2
"St. Joseph County, Indiana",18,141,25.6
"Scott County, Indiana",18,143,9.9
"Shelby County, Indiana",18,145,15.2
"Spencer County, Indiana",18,147,15.9
"Starke County, Indiana",18,149,11.2
"Steuben County, Indiana",18,151,18.9
"Sullivan County, Indiana",18,153,14.1
"Switzerland County, Indiana",18,155,11.4
"Tippecanoe County, Indiana",18,157,35.7
"Tipton County, Indiana",18,159,13.5
"Union County, Indiana",18,161,15.2
"Vanderburgh County, Indiana",18,163,21.8
"Vermillion County, Indiana",18,165,12.3
"Vigo County, Indiana",18,167,21.3
"Wabash County, Indiana",18,169,16.3
"Warren County, Indiana",18,171,13.1
"Warrick County, Indiana",18,173,25.6
"Washington County, Indiana",18,175,10.5
"Wayne County, Indiana",18,177,15.8
"Wells County, Indiana",18,179,14.0
"White County, Indiana",18,181,14.5
"Whitley County, Indiana",18,183,16.6
"Adair County, Iowa",19,001,13.6
"Adams County, Iowa",19,003,15.6
"Allamakee County, Iowa",19,005,13.5
"Appanoose County, Iowa",19,007,16.6
"Audubon County, Iowa",19,009,15.0
"Benton County, Iowa",19,011,17.8
"Black Hawk County, Iowa",19,013,24.6
"Boone County, Iowa",19,015,19.6
"Bremer County, Iowa",19,017,26.5
"Buchanan County, Iowa",19,019,18.5
"Buena Vista County, Iowa",19,021,22.6
